country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Central African Republic,CAF,8.36194420366625,426.408753120209,2.32783705140642,34.23019409,4.24,0.2,55.025,10.873,2.43624677249421,13.0,1.0,27620000.0,12.5487499237061,83.41195,1.76792073249817,3.2,0.301
Chad,TCD,12.8072315756036,701.621201027424,2.85603411987745,30.53188515,1.135,30.9,53.259,12.369,2.0349707128465,8.5,1.0,28332.0,8.83903980255127,56.88788,2.37245798110962,3.9,0.187
Chile,CHL,25.6068131566631,14632.6903076927,2.57259820881472,1369.48400879,7.533,1.3,80.326,6.346,12.1254064349585,29.9,2.06,21197759.0,83.1600036621094,17.79358,5.61996984481812,9.5,6.255
China,CHN,149.948179684945,10143.8602205959,1.28670040643908,539.6194458,5.15,0.1,77.968,7.09,12.0221158122819,25.7,4.31,659629070.0,65.3229217529297,16.42675,3.54105472564697,8.8,5.384
Colombia,COL,45.2342550698513,6436.50921529527,4.0026205429363,522.54925537,10.28,5.3,76.752,5.411,8.20401926925632,8.8,1.71,37031843.0,55.810001373291,23.3015,4.51069021224976,9.8,3.655
Comoros,COM,425.032778076303,1510.79732262852,4.20910596809098,77.80075073,8.143,18.6,64.068,8.203,4.32055687458438,20.8,2.16,12273939.724,57.7400016784668,28.05781,2.37805080413818,8.4,1.873
Democratic Republic of Congo,COD,39.658097527624,575.882781366465,5.89540537440325,19.85771751,1.466,78.9,60.276,9.38,3.01982193456018,13.0,2.16,550457.892628576,48.330020904541,33.19793,2.622638463974,3.1,1.4340000000000002
Congo,COG,16.312541727672,2508.9447830009,-1.31737273450356,58.90272522,10.0,35.4,62.747,7.388,2.61702567840046,14.3,2.16,541787.136860717,39.122859954834,44.442,3.55946898460388,5.5,1.034
Costa Rica,CRI,99.57955346651,12669.3411549351,2.56679211775625,914.88470459,10.807,1.1,79.427,5.468,9.88549289152796,9.1,1.1,2033146.0,47.4300003051758,12.2047,6.73808002471924,9.6,6.5280000000000005
Cote d'Ivoire,CIV,82.2250031446541,2290.78737894927,1.35808162094249,73.64801652,2.401,11.5,59.319,8.728,2.40097820250929,9.7,1.1,748540.0,19.4832496643066,41.8223,3.44067001342773,4.9,0.805
Croatia,HRV,72.6405010363805,15120.9029026824,2.00508096122299,1040.08569336,6.617,0.3,78.4243902439025,12.7,21.1057251265603,36.7,5.54,2108591.0,89.2185592651367,13.50611,3.95437002182007,5.2,11.559000000000001
Cuba,CUB,109.024055876686,9139.38051005519,3.54474299448344,1013.10137939,1.7,0.3,77.611,9.861,15.2863470359924,18.7,5.33,457130.0,80.2341232299805,9.16029,9.04696941375732,9.4,15.995
Curacao,CUW,354.596846846847,19220.6865793075,2.62590000000019,1186.16137695,19.07,0.3,78.0170731707317,8.8,13.5585803688638,17.9,5.33,99838.0,90.3818206787109,9.16029,6.62462139129639,9.4,15.995
Cyprus,CYP,132.990909090909,29420.0,1.32507750095616,2043.67858887,7.155,0.2,81.397,6.769,13.8533482688706,35.5,3.4,395436.0,82.9165267944336,12.03922,5.21296977996826,9.3,8.196
Czechia,CZE,138.226810266108,23664.8478631108,3.88895344602105,1803.05273438,2.015,0.0,79.2292682926829,10.5,19.8202815617653,30.9,6.62,5446163.2,99.8096313476562,18.93175,4.54246997833252,5.3,13.182
Denmark,DNK,145.36055,59592.9806886454,1.04879424424314,6058.83007813,5.018,0.3,81.4512195121951,9.3,19.8025648573003,18.1,2.6,929888.181,95.152702331543,10.73738,6.9096999168396,5.6,14.803999999999998
Djibouti,DJI,46.3327868852459,2876.04366371536,0.449797430981619,62.30675125,26.064,19.1,63.085,8.421,4.40491287660825,17.5,1.4,929888.181,23.7844505310059,29.37453,3.75143003463745,6.3,0.865
Dominica,DMA,95.2373333333333,8561.58701121461,4.48328635371882,442.51159668,26.064,19.1,73.559,8.369,9.15607324858599,17.5,3.8,929888.181,23.7844505310059,13.07679,5.53449010848999,8.9,7.627000000000001
Dominican Republic,DOM,228.942837306179,8173.34469885261,2.52561865647056,346.50790405,6.356,0.8,73.577,6.006,6.76022278314437,10.9,1.56,113752.0,64.879997253418,18.92322,4.04276895523071,8.1,2.873
Ecuador,ECU,69.8330649057819,6233.25816692363,0.495450027557041,487.33145142,3.812,3.6,77.297,4.913,7.40986351819551,11.6,1.39,4827978.0,51.8400001525879,24.26216,4.22565984725952,6.6,4.748
Egypt,EGY,106.101432517957,3017.25833578941,13.6180959109963,145.3107605,7.851,1.5,71.358,5.581,4.62764438685278,24.4,1.43,13206889.61,72.9591369628906,23.67945,3.93084812164307,16.6,2.536
El Salvador,SLV,303.099276061776,4280.28840404719,0.92075678458454,364.13085938,4.17,1.4,72.559,7.451,8.02436444473177,8.3,1.2,2609917.0,46.5400009155273,26.89473,3.38710999488831,9.4,4.813
Equatorial Guinea,GNQ,55.3665240641711,7317.39002392662,-3.16368983363937,222.7387085,5.008,1.4,61.644,8.582,3.15856642866962,7.9,2.1,425475.0,46.5699996948242,23.22706,3.65957999229431,4.2,0.62
Eritrea,ERI,28.8966156462492,643.790042311239,19.5382281454081,25.25788498,5.008,1.4,67.3,6.309,3.96906898272502,7.7,0.7,101357.3758656,46.5699996948242,38.74092,3.65957999229431,3.6,1.514
Estonia,EST,31.0385497076023,23424.4847073518,3.20705842626813,1598.83752441,4.514,0.6,78.6463414634147,11.6,19.9022108250816,30.5,4.57,857.0,97.8234634399414,11.31153,5.29571008682251,7.0,10.07
Eswatini,SWZ,68.0007558139535,3818.54048403065,1.72605821280148,259.24450684,22.718,36.1,60.549,8.923,3.84511800056942,9.3,2.1,52744.0,97.8234634399414,26.59621,5.69914817810059,3.1,2.611
Ethiopia,ETH,101.119564793866,840.449601255171,12.8603968185939,26.22917175,2.251,27.0,65.838,6.439,3.10388326187596,5.2,0.33,12631216.0,10.3437995910645,55.06929,4.48086929321289,3.4,0.874
Faeroe Islands,FRO,37.0207736389685,63203.7447848956,3.64703843550345,28.69671059,4.03,27.0,82.9463414634147,8.0,17.6873512509433,5.1,0.33,4940183.0,10.3437995910645,55.06929,4.09056520462036,3.4,0.874
Fiji,FJI,50.2717569786535,5927.72420758285,1.54654919148072,228.35894775,4.32,1.3,67.893,7.941,5.34293922084087,23.4,2.0,1700293.0,87.3066177368164,27.99728,5.11768341064453,10.9,4.651
Finland,FIN,18.1673609054717,48629.8582283032,1.49655419230197,4460.109375,6.695,0.0,81.9829268292683,9.8,22.0597925957747,22.2,3.61,14610547.0,87.3066177368164,13.66688,6.41695022583008,5.8,26.285999999999998
France,FRA,123.070294051578,40494.8982936276,1.27859214632949,4508.34130859,8.415,0.1,82.8268292682927,9.1,20.676325207027,33.6,5.91,71289277.0,85.5956573486328,18.1766,5.35443019866943,5.4,15.231
French Polynesia,PYF,86.348890809565,20093.2085805567,0.822431269471167,4768.72705078,8.01,0.1,82.996,3.391,8.82631144327575,33.4,5.91,24956343.0,85.5956573486328,18.1766,5.67784023284912,8.6,15.544
Gabon,GAB,8.70409826522296,7523.86228077637,1.54748519798422,208.28834534,20.39,2.5,66.603,6.856,3.89945895405513,33.4,6.3,77320.0,85.5956573486328,24.53098,2.8743097782135,10.3,2.981
Gambia,GMB,247.913339920949,722.875356284026,6.25220639943007,22.83255005,4.127,17.2,63.755,6.999,2.46818953530525,11.6,1.1,109542.145080475,32.4247016906738,36.13813,2.65492939949036,2.0,0.6669999999999999
Georgia,GEO,65.0855698239966,4696.15058555612,5.19239145340818,308.56665039,11.565,4.8,73.47,12.88,14.3932716852252,31.7,2.89,509913.0,97.6632919311523,8.98194,3.86666989326477,2.8,13.032
Germany,DEU,237.822954291766,46805.1384334439,2.13030905148273,5478.10253906,3.136,0.0,81.2926829268293,11.3,21.7302903981942,22.5,8.0,109633750.727,95.6803817749023,12.30285,5.11676979064941,5.3,16.481
Ghana,GHA,138.535158653424,2167.92544000869,8.48107298102975,73.52350616,3.369,25.2,64.74,7.143,3.33205487291691,3.6,0.9,597343.0,46.4343490600586,26.99486,3.15307116508484,5.0,2.7190000000000003
Gibraltar,GIB,3268.5,2176.57621804239,9.36557367753899,84.97839355,3.369,25.2,82.363,8.283,19.5927857918649,3.5,0.9,321437.0,46.4343490600586,14.17,3.40915989875793,5.0,3.66
Greece,GRC,83.1775174553918,19143.8876174584,0.226845195063973,1569.02905273,17.045,0.7,81.6390243902439,11.7,21.8804827755261,34.5,4.2,16124738.33,73.6619491577148,9.38027,3.58606004714966,5.1,9.945
Greenland,GRL,0.136983798270191,53309.2035905065,0.744863000194002,1675.11706543,9.1,0.8,72.0436585365854,9.8,8.66879430722057,33.5,4.2,5647917.0,100.0,9.38027,4.4971752166748,5.1,10.004
Grenada,GRD,360.952941176471,9887.92074235834,3.32753294754764,487.60290527,10.161,0.3,74.863,8.008,9.55033062127465,33.5,3.57,5647917.0,100.0,16.35068,3.55919337272644,8.6,7.061
Guam,GUM,312.266666666667,37752.633077142,2.45977107115824,491.08206177,5.4,0.3,77.717,6.304,10.7028062434766,33.5,3.57,5647917.0,100.0,16.35068,3.55919337272644,8.6,7.061
Guatemala,GTM,154.946117954461,4647.80754129437,3.56578287211866,278.54898071,2.193,9.5,73.129,4.892,4.75625480907295,11.0,0.44,107350.0,32.2936897277832,20.26228,3.19297003746033,9.3,3.588
Guinea,GIN,52.4073701774377,1043.89988618266,9.40290765798821,42.68258286,5.018,13.8,59.72,9.712,3.40346876074181,10.9,0.3,25217.454,12.6291999816895,47.14862,1.85812997817993,4.4,0.7949999999999999
Guinea-Bissau,GNB,70.0731507823613,730.611432270196,-3.41786303090853,61.00823593,3.196,21.7,60.882,8.206,2.76887614621282,9.3,0.3,25217.454,12.6291999816895,51.92515,2.13248991966248,3.0,0.9630000000000001
Guyana,GUY,4.05767335534671,6477.29672607993,2.96118846307267,319.36257935,13.525,21.7,69.124,7.444,5.84799055527804,12.6,1.71,28697.0,56.9676399230957,23.1645,4.45058012008667,16.7,4.062
Haiti,HTI,404.950580551524,1345.4750547884,19.8003878969177,49.08564227,14.1,29.2,64.255,7.953,4.3653887060705,7.9,0.71,23119.0,31.0256404876709,23.1645,1.75941300392151,6.6,0.639
Honduras,HND,89.0055322191438,2519.36618467309,4.12669713335944,184.03918457,5.551,12.7,72.881,4.315,4.00678634004058,7.7,0.64,321243.0,32.5099983215332,25.59773,5.93245983123779,6.7,1.202
Hungary,HUN,107.069263642341,16786.2136399075,4.78502518079389,1053.72363281,3.419,0.3,76.3195121951219,13.3,19.6125829690153,32.2,7.01,39803373.0,98.1814270019531,10.76744,4.22488021850586,6.0,10.350999999999999
Iceland,ISL,3.5759496181692,68452.23622306,4.4567758015221,5865.23144531,3.507,0.0,83.1634146341463,6.3,14.3078294059031,12.6,2.83,4656017.0,99.2928466796875,10.14405,7.60675001144409,3.2,20.040999999999997
India,IND,465.194639427685,2050.1638002619,2.4055171623353,60.66871643,6.51,13.2,70.91,6.71,6.47202495037476,28.1,0.53,167499116.0,46.0779113769531,32.74955,4.2933497428894,9.0,2.455
Indonesia,IDN,143.584633764026,4151.22755440796,1.59848849984144,120.58958435,3.59,4.4,70.518,7.539,6.59381824686952,37.2,1.04,91323153.0,54.5782318115234,17.03493,2.84207797050476,5.1,4.289
Iran,IRN,53.3523587057011,3276.75326508099,30.5348662272656,450.59701538,10.74,0.7,76.103,4.872,6.80511038500649,14.0,1.56,21641449.393,69.8314590454102,28.52479,3.25775003433228,11.1,3.498
Iraq,IRQ,95.7402425091217,5621.18169491752,-2.67444003466784,239.57891846,13.02,0.1,71.576,4.301,3.36436491225521,18.8,1.32,5434292.0,32.3186187744141,28.52479,3.20495009422302,9.1,3.1689999999999996
Ireland,IRL,71.6263608651473,80848.3019020489,3.35541152264082,5430.99707031,4.95,0.1,82.7024390243903,6.3,14.242765397765,21.4,2.97,170161848.0,32.3186187744141,16.06046,3.27185988426208,5.2,18.942999999999998
Isle of Man,IMN,147.250877192982,87152.4530176191,1.79999718620296,6092.17675781,2.67,0.1,80.737,10.09,21.5683938379422,20.8,2.97,54582262.0,32.3186187744141,16.06046,3.27185988426208,5.2,19.879
Israel,ISR,418.391866913124,44452.2325623093,1.83647019726104,3454.46801758,3.731,0.7,82.8048780487805,5.1,11.673140065959,21.6,2.98,7068458.0,89.1813583374023,12.07069,6.05673980712891,7.4,9.073
