,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
0,2021-12-01,8889711.9,34247.1,32281.6,31948.5,868430.0,34754.3,169200.6,935132.8,101296.22017770456,320.05451098211375,28.85896741049478,172.3886597198319,0.0,171.02692770438227,101060.45355053578,343.4155874242142,10060574
1,2021-12-02,6049947.0,71538.7,35869.4,27763.9,868459.4,41035.4,2965960.2,937258.7000000001,1400420.284031119,4748.202650477337,974.5171317119058,2755.3758164722285,4.963869458396342,2695.9754524104997,1399124.8734082172,5456.315138341125,10060574
2,2021-12-03,4530894.7,96342.7,42382.2,26434.0,868536.7,44703.2,4451280.5,939673.8999999999,1697221.7913678251,9991.722074297302,2107.912844498083,3800.803204587157,17.669465187152664,3710.129264594429,1700001.7344998359,7528.6019343687385,10060574
3,2021-12-04,3586938.5,115072.0,50661.8,26756.0,868657.9,47128.9,5365358.9,942542.8,1681875.7362715742,17515.409792522696,2983.034890845228,4225.23521238759,40.92053274335514,4142.522092880134,1690902.3239989027,8408.677838011079,10060574
4,2021-12-05,2917708.5,131224.6,60426.5,28437.1,868839.5,48873.8,6005064.0,946150.4,1556968.3561857159,26847.516418469695,3648.8648988418304,4354.767857188256,74.79605604575686,4277.999317438001,1574044.4300876644,8707.563230672014,10060574
5,2021-12-06,2451105.4,144735.8,70566.6,31052.6,869096.6,50089.3,6443927.7,950238.5,1406823.097525499,36266.8798321554,4306.358396603794,4376.863402026616,119.04217739944109,4291.1976661533545,1432598.367966057,8787.10324557941,10060574
6,2021-12-07,2094694.2,156802.1,81328.8,34522.4,869425.8,51020.3,6772780.4,954968.5,1255036.0583642048,45972.41283954977,5439.135791649258,4339.890533181683,174.86268898767398,4256.035104413496,1290389.7110215349,8770.788326582853,10060574
7,2021-12-08,1813106.4,167967.7,92418.3,38795.2,869841.3,51747.9,7026697.2,960384.4,1111293.5806603222,55569.07199162138,7406.428478693358,4195.405172328413,228.94761409545197,4144.315056797685,1156916.6121918901,8568.66784322155,10060574
8,2021-12-09,1584961.9,178272.9,103852.0,43827.9,870374.0,52298.9,7226986.4,966500.8,978859.0802383609,64875.40011660814,10248.41496037314,4045.4032543122325,289.2428045777457,4042.5432452850764,1035326.1979865283,8377.189304175054,10060574
9,2021-12-10,1396552.1,187775.7,115470.8,49534.2,871057.4,52746.6,7387437.2,973338.2,859032.5632557186,73714.83866909023,13797.391918764937,3893.112091887415,364.82713714854054,3921.5361836912844,926581.4019391712,8179.47541272724,10060574
