,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
182,2022-06-01,6785386.9,107984.1,100666.1,100544.9,2754085.0,40774.6,171132.4,2895404.5,36292.50669063794,3633.603760731211,544.325169361109,378.8391347260734,0.0,112.08764427893023,32801.77413250692,490.9267790050036,10060574
183,2022-06-02,3793395.5,233115.2,109914.5,101544.5,2754348.4,44593.4,3023662.5,2900486.3,657787.6010317084,65016.43524955825,13268.767714072019,7852.496370581778,18.106352476410038,1893.189488667207,593564.0988023535,9763.792211725395,10060574
184,2022-06-03,2315968.0,294922.4,126441.3,103348.2,2755098.5,46604.4,4418191.2,2905051.1,961419.8375758637,95686.67852235232,25078.159633633408,12904.121975554943,48.27266307134919,2689.733637370065,863242.9224170679,15642.128275996358,10060574
185,2022-06-04,1553292.6,322652.2,146220.1,105440.1,2756334.7,47689.1,5128945.2,2909463.9000000004,1106372.8206816362,109687.32911398655,36091.77473178619,16306.879336341457,108.45464489822461,3017.6886668442125,988915.4542054442,19433.022648083894,10060574
186,2022-06-05,1145423.9,330759.7,166992.1,107622.3,2758046.3,48280.2,5503449.5,2913948.8,1174399.0526156302,113944.26499482105,46292.63126989003,18455.09989704743,237.76965744181908,3126.876997900621,1046454.89095682,21819.746552389868,10060574
187,2022-06-06,913239.8,327223.9,188382.6,109809.9,2760346.8,48635.3,5712935.7,2918792.0,1206786.734551122,112221.0678406243,56151.61889954732,19724.30019265576,450.94341108391865,3137.840373569057,1073653.2538896392,23313.083977308732,10060574
188,2022-06-07,787869.4,317448.3,207988.8,111821.1,2763007.6,48842.5,5823596.3,2923671.2,1220511.0445624162,107410.55199378691,64734.79937066307,20166.36592175199,715.0075803793972,3094.697214591437,1085633.3332330072,23976.070716722825,10060574
189,2022-06-08,714919.7,304134.6,226383.8,113787.4,2766086.6,48966.3,5886295.6,2928840.3000000003,1226334.6700415062,100791.40061652086,72648.57282121928,20135.776300902828,1019.174685713887,3052.7745756933973,1091724.2554701439,24207.725562310112,10060574
190,2022-06-09,671415.0,289314.9,243155.6,115702.9,2769561.9,49046.4,5922377.3,2934311.1999999997,1228575.5611411126,93543.94141840507,79778.62267700539,19686.95025365788,1353.480361881915,3009.525617103134,1095452.0425372396,24049.95623264293,10060574
191,2022-06-10,645097.9,273822.2,258457.4,117508.5,2773458.3,49100.2,5943129.5,2940067.0,1229364.9872109138,86126.70322472585,86247.27736131733,19013.83549550169,1691.9620592672875,2981.329830796988,1098460.6067479388,23687.127385565967,10060574
192,2022-06-11,629005.4,258355.6,272255.9,119127.1,2777820.2,49139.9,5954869.9,2946087.2,1229655.7242777508,78990.03310570265,92083.47089402094,18109.72399265102,2067.1252405212413,2953.6828350383184,1101390.8885546902,23130.532068210578,10060574
193,2022-06-12,619124.9,243333.0,284602.3,120626.1,2782551.6,49166.8,5961169.3,2952344.5,1229989.7390327652,72393.61154687616,97274.84382619178,17069.981455467372,2445.442994633079,2932.248584277943,1104589.3333647624,22447.673034378393,10060574
