,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
182,2022-06-01,6836359.7,102475.8,100471.0,100641.0,2754085.0,40836.6,125704.9,2895562.6,59465.1342637852,1180.9161528237303,588.5560296182514,343.637308801009,0.0,176.6772198105913,59356.4366559348,520.3145286116003,10060574
183,2022-06-02,4663435.4,138223.1,101387.6,104304.7,2754393.8,45697.6,2253131.8,2904396.0999999996,839836.5335083012,23094.33311637294,15443.232098236429,7470.635636276205,191.45850725418293,2971.4564509681104,836146.6357451663,10633.5505944985,10060574
184,2022-06-03,3488402.3,159845.6,106099.4,108663.5,2755266.2,48285.7,3394011.3,2912215.4000000004,1144699.5768064256,36891.77719004602,31269.126368352536,12768.134141290966,660.879232537988,4142.406330866155,1133147.1512849557,17571.41970469511,10060574
185,2022-06-04,2789126.2,173155.2,113097.9,112987.5,2756701.6,49703.7,4065801.9,2919392.8000000003,1346902.5089418166,45321.98705220238,47666.695200003116,16962.712137214377,1341.5614186461983,4581.546966909757,1325398.8865179003,22885.820522770333,10060574
186,2022-06-05,2343112.9,180760.3,121576.2,116987.3,2758656.2,50505.1,4488976.0,2926148.6,1506913.6297577543,49567.97619441407,64174.94549090011,20077.80794832942,2103.282615342028,4713.735640656994,1476367.3900871694,26894.826204328445,10060574
187,2022-06-06,2032134.1,184615.1,131022.8,120629.4,2761265.3,51001.1,4779906.2,2932895.8,1634649.0417356538,51034.890207484525,80950.51194748555,22408.710994611,2950.188199081543,4718.147866483203,1596667.3096163645,30077.047060175744,10060574
188,2022-06-07,1823314.1,185517.6,140261.8,123661.3,2764260.8,51295.2,4972263.2,2939217.3,1724167.173397026,50584.44839908803,96260.4161790297,23989.337314940567,3804.9209663276843,4661.726113790899,1680859.5364261584,32455.984395059153,10060574
189,2022-06-08,1670302.6,184405.7,149331.4,126243.8,2767732.4,51482.4,5111075.7,2945458.6,1787052.192499324,49172.30750137723,110540.89174979548,24992.6419883933,4610.11360380631,4594.147476953694,1740072.817759708,34196.903069153304,10060574
190,2022-06-09,1555575.5,181885.2,157935.8,128393.1,2771662.0,51614.0,5213508.4,2951669.1,1830355.0497036497,47407.06270546616,123724.2211879307,25478.305538045497,5390.0956392257085,4525.126473370662,1781039.701234602,35393.52765064187,10060574
191,2022-06-10,1467630.5,178469.1,165905.5,130149.4,2776022.6,51699.2,5290697.7,2957871.2,1859963.772494037,46017.06833871537,135692.77809172455,25574.48612660673,6188.755176931788,4473.6158932121125,1809277.8060124458,36236.85719675063,10060574
192,2022-06-11,1399136.6,174467.5,173123.3,131595.9,2780785.6,51764.6,5349700.5,2964146.1,1880051.228870437,45375.14978322385,146303.63710314926,25354.38568946209,6946.284520518865,4432.450884104639,1828842.177138927,36733.121094085596,10060574
193,2022-06-12,1344953.8,170190.1,179474.3,132747.3,2785912.2,51815.3,5395481.0,2970474.8000000003,1893551.7298664327,45664.875831321384,155592.6255553585,24886.154142615127,7639.342534537905,4394.506071221202,1842429.6403930327,36920.00274837424,10060574
194,2022-06-13,1301595.6,165709.8,185096.0,133541.6,2791463.8,51853.5,5431313.7,2976858.9,1902649.0764760696,46856.37936460733,163699.8366987579,24273.26525294856,8302.221627974046,4367.471493896669,1852117.4317786142,36942.958374819274,10060574
195,2022-06-14,1266552.5,161205.3,190020.6,134085.5,2797269.2,51880.5,5459560.4,2983235.2,1908690.5307417046,48897.8111433426,170597.7548059763,23422.371828019466,8922.89932477107,4345.507202847557,1859106.6199745082,36690.77835563809,10060574
196,2022-06-15,1236804.9,156639.4,194311.6,134435.4,2803642.9,51903.6,5482836.2,2989981.9,1912854.8126531949,51488.66784293414,176487.15259202296,22355.16586473918,9502.921050392873,4325.466384102413,1864461.487286868,36183.55329923447,10060574
197,2022-06-16,1213372.2,152375.4,197694.7,134513.9,2810117.8,51921.9,5500578.1,2996553.5999999996,1915442.1493852953,54254.766520924226,181196.1053902925,21282.398241034774,9982.815041860687,4307.884108236896,1868353.1641002698,35573.09739113236,10060574
198,2022-06-17,1193844.9,148393.4,200491.5,134337.4,2816791.8,51935.8,5514779.2,3003065.0,1916906.5629281697,57148.26391098858,185017.8334670742,20191.803684663737,10398.624695602779,4295.864425235042,1871345.6887900108,34886.29280550156,10060574
199,2022-06-18,1177539.5,144598.9,202620.3,133991.2,2823720.1,51947.8,5526156.2,3009659.1,1917685.5305880706,60032.06965022945,187913.66560899717,18942.76075866451,10780.17177460545,4285.8514159965935,1873707.602433304,34008.78394926655,10060574
200,2022-06-19,1163860.1,141046.7,204236.6,133481.7,2830812.8,51958.5,5535177.6,3016253.0,1917872.4768185946,62751.12320277622,190063.90291962333,17755.453393535183,11073.691388150566,4276.085926405128,1875530.1830637755,33105.23070809088,10060574
201,2022-06-20,1152253.2,137669.7,205374.7,132796.9,2838126.7,51964.9,5542387.9,3022888.5,1917685.0700622248,65352.21026568268,191588.2214412201,16551.80568669171,11318.480057410536,4270.093147695961,1877007.7202188834,32140.378891798206,10060574
202,2022-06-21,1142379.7,134570.9,206030.3,131972.4,2845579.0,51969.9,5548071.8,3029521.3,1917282.5964681394,67688.56918040151,192550.78400673938,15416.035756315565,11546.755145927362,4265.518830107306,1878176.57298795,31228.30973235023,10060574
203,2022-06-22,1133979.2,131592.1,206389.1,131014.0,2853161.7,51973.9,5552464.0,3036149.6,1916511.5630640895,69950.38254284248,193130.3098767514,14275.21516475321,11651.245513248787,4261.839425647099,1879093.6925159427,30188.300103649097,10060574
