longitude,latitude,country
-8.25,37.75,Portugal
-8.25,37.5,Portugal
-8.25,37.25,Portugal
-8.25,37.0,Portugal
-8.25,36.75,Portugal
-8.0,55.25,Ireland
-8.0,55.0,Ireland
-8.0,54.75,Ireland
-8.0,54.5,Ireland
-8.0,54.25,Ireland
-8.0,54.0,Ireland
-8.0,53.75,Ireland
-8.0,53.5,Ireland
-8.0,53.25,Ireland
-8.0,53.0,Ireland
-8.0,52.75,Ireland
-8.0,52.5,Ireland
-8.0,52.25,Ireland
-8.0,52.0,Ireland
-8.0,51.75,Ireland
-8.0,43.75,Spain
-8.0,43.5,Spain
-8.0,43.25,Spain
-8.0,43.0,Spain
-8.0,42.75,Spain
-8.0,42.5,Spain
-8.0,42.25,Spain
-8.0,42.0,Spain
-8.0,41.75,Portugal
-8.0,41.5,Portugal
-8.0,41.25,Portugal
-8.0,41.0,Portugal
-8.0,40.75,Portugal
-8.0,40.5,Portugal
-8.0,40.25,Portugal
-8.0,40.0,Portugal
-8.0,39.75,Portugal
-8.0,39.5,Portugal
-8.0,39.25,Portugal
-8.0,39.0,Portugal
-8.0,38.75,Portugal
-8.0,38.5,Portugal
-8.0,38.25,Portugal
-8.0,38.0,Portugal
-8.0,37.75,Portugal
-8.0,37.5,Portugal
-8.0,37.25,Portugal
-8.0,37.0,Portugal
-8.0,36.75,Portugal
-7.75,55.25,Ireland
-7.75,55.0,Ireland
-7.75,54.75,Ireland
-7.75,54.5,Ireland
-7.75,54.25,Ireland
-7.75,54.0,Ireland
-7.75,53.75,Ireland
-7.75,53.5,Ireland
-7.75,53.25,Ireland
-7.75,53.0,Ireland
-7.75,52.75,Ireland
-7.75,52.5,Ireland
-7.75,52.25,Ireland
-7.75,52.0,Ireland
-7.75,51.75,Ireland
-7.75,43.75,Spain
-7.75,43.5,Spain
-7.75,43.25,Spain
-7.75,43.0,Spain
-7.75,42.75,Spain
-7.75,42.5,Spain
-7.75,42.25,Spain
-7.75,42.0,Spain
-7.75,41.75,Portugal
-7.75,41.5,Portugal
-7.75,41.25,Portugal
-7.75,41.0,Portugal
-7.75,40.75,Portugal
-7.75,40.5,Portugal
-7.75,40.25,Portugal
-7.75,40.0,Portugal
-7.75,39.75,Portugal
-7.75,39.5,Portugal
-7.75,39.25,Portugal
-7.75,39.0,Portugal
-7.75,38.75,Portugal
-7.75,38.5,Portugal
-7.75,38.25,Portugal
-7.75,38.0,Portugal
-7.75,37.75,Portugal
-7.75,37.5,Portugal
-7.75,37.25,Portugal
-7.75,37.0,Portugal
-7.75,36.75,Portugal
-7.5,55.25,United Kingdom
-7.5,55.0,United Kingdom
-7.5,54.75,Ireland
-7.5,54.5,Ireland
-7.5,54.25,Ireland
-7.5,54.0,Ireland
-7.5,53.75,Ireland
-7.5,53.5,Ireland
-7.5,53.25,Ireland
-7.5,53.0,Ireland
-7.5,52.75,Ireland
-7.5,52.5,Ireland
-7.5,52.25,Ireland
-7.5,52.0,Ireland
-7.5,51.75,Ireland
-7.5,43.75,Spain
-7.5,43.5,Spain
-7.5,43.25,Spain
-7.5,43.0,Spain
-7.5,42.75,Spain
-7.5,42.5,Spain
-7.5,42.25,Spain
-7.5,42.0,Spain
-7.5,41.75,Portugal
-7.5,41.5,Portugal
-7.5,41.25,Portugal
-7.5,41.0,Portugal
-7.5,40.75,Portugal
-7.5,40.5,Portugal
-7.5,40.25,Portugal
-7.5,40.0,Portugal
-7.5,39.75,Portugal
-7.5,39.5,Portugal
-7.5,39.25,Portugal
-7.5,39.0,Portugal
-7.5,38.75,Portugal
-7.5,38.5,Portugal
-7.5,38.25,Portugal
-7.5,38.0,Portugal
-7.5,37.75,Portugal
-7.5,37.5,Portugal
-7.5,37.25,Portugal
-7.5,37.0,Portugal
-7.5,36.75,Portugal
-7.25,55.25,United Kingdom
-7.25,55.0,United Kingdom
